date,pos,neg
2018-01-01,0.5172413793103449,0.4827586206896552
2018-01-02,0.7272727272727273,0.2727272727272727
2018-01-03,0.6363636363636364,0.36363636363636365
2018-01-04,0.5714285714285714,0.42857142857142855
2018-01-05,0.5405405405405406,0.4594594594594595
2018-01-06,0.5833333333333334,0.4166666666666667
2018-01-07,0.5333333333333333,0.4666666666666667
2018-01-08,0.8275862068965517,0.1724137931034483
2018-01-09,0.44,0.56
2018-01-10,0.5909090909090909,0.4090909090909091
2018-01-11,0.6666666666666666,0.3333333333333333
2018-01-12,0.5789473684210527,0.42105263157894735
2018-01-13,0.4782608695652174,0.5217391304347826
2018-01-14,0.6153846153846154,0.38461538461538464
2018-01-15,0.7222222222222222,0.2777777777777778
2018-01-16,0.5217391304347826,0.4782608695652174
2018-01-17,0.85,0.15
2018-01-18,0.7083333333333334,0.2916666666666667
2018-01-19,0.5833333333333334,0.4166666666666667
2018-01-20,0.5238095238095238,0.47619047619047616
2018-01-21,0.7142857142857143,0.2857142857142857
2018-01-22,0.5333333333333333,0.4666666666666667
2018-01-23,0.6296296296296297,0.37037037037037035
2018-01-24,0.46153846153846156,0.5384615384615384
2018-01-25,0.6486486486486487,0.35135135135135137
2018-01-26,0.75,0.25
2018-01-27,0.625,0.375
2018-01-28,0.6538461538461539,0.34615384615384615
2018-01-29,0.5833333333333334,0.4166666666666667
2018-01-30,0.5925925925925926,0.4074074074074074
2018-01-31,0.6666666666666666,0.3333333333333333
2018-02-01,0.5263157894736842,0.47368421052631576
2018-02-02,0.6,0.4
2018-02-03,0.7777777777777778,0.2222222222222222
2018-02-04,0.6829268292682927,0.3170731707317073
2018-02-05,0.6333333333333333,0.36666666666666664
2018-02-06,0.6666666666666666,0.3333333333333333
2018-02-07,0.6538461538461539,0.34615384615384615
2018-02-08,0.6551724137931034,0.3448275862068966
2018-02-09,0.7419354838709677,0.25806451612903225
2018-02-10,0.5652173913043478,0.43478260869565216
2018-02-11,0.6818181818181818,0.3181818181818182
2018-02-12,0.5185185185185185,0.48148148148148145
2018-02-13,0.7368421052631579,0.2631578947368421
2018-02-14,0.85,0.15
2018-02-15,0.7407407407407407,0.25925925925925924
2018-02-16,0.9782608695652174,0.021739130434782608
2018-02-17,0.9210526315789473,0.07894736842105263
2018-02-18,0.9824561403508771,0.017543859649122806
2018-02-19,0.9444444444444444,0.05555555555555555
2018-02-20,0.9285714285714286,0.07142857142857142
2018-02-21,0.8125,0.1875
2018-02-22,1.0,0.0
2018-02-23,0.8260869565217391,0.17391304347826086
2018-02-24,0.6666666666666666,0.3333333333333333
2018-02-25,0.7,0.3
2018-02-26,0.8888888888888888,0.1111111111111111
2018-02-27,0.7,0.3
2018-02-28,0.6,0.4
2018-03-01,0.47058823529411764,0.5294117647058824
2018-03-02,0.6129032258064516,0.3870967741935484
2018-03-03,0.7,0.3
2018-03-04,0.46153846153846156,0.5384615384615384
2018-03-05,0.7307692307692307,0.2692307692307692
2018-03-06,0.5714285714285714,0.42857142857142855
2018-03-07,0.75,0.25
2018-03-08,0.8888888888888888,0.1111111111111111
2018-03-09,0.7419354838709677,0.25806451612903225
2018-03-10,0.7083333333333334,0.2916666666666667
2018-03-11,0.5714285714285714,0.42857142857142855
2018-03-12,0.6206896551724138,0.3793103448275862
2018-03-13,0.7575757575757576,0.24242424242424243
2018-03-14,0.8421052631578947,0.15789473684210525
2018-03-15,0.7692307692307693,0.23076923076923078
2018-03-16,0.6,0.4
2018-03-17,0.782608695652174,0.21739130434782608
2018-03-18,0.8,0.2
2018-03-19,0.8181818181818182,0.18181818181818182
2018-03-20,0.7142857142857143,0.2857142857142857
2018-03-21,0.55,0.45
2018-03-22,0.72,0.28
2018-03-23,0.84,0.16
2018-03-24,0.7222222222222222,0.2777777777777778
2018-03-25,0.6521739130434783,0.34782608695652173
2018-03-26,0.75,0.25
2018-03-27,0.59375,0.40625
2018-03-28,0.7307692307692307,0.2692307692307692
2018-03-29,0.6857142857142857,0.3142857142857143
2018-03-30,0.6470588235294118,0.35294117647058826
2018-03-31,0.6,0.4
2018-04-01,0.7727272727272727,0.22727272727272727
2018-04-02,0.7878787878787878,0.21212121212121213
2018-04-03,0.6923076923076923,0.3076923076923077
2018-04-04,0.7142857142857143,0.2857142857142857
2018-04-05,0.8,0.2
2018-04-06,0.9,0.1
2018-04-07,0.6086956521739131,0.391304347826087
2018-04-08,0.625,0.375
2018-04-09,0.75,0.25
2018-04-10,0.8181818181818182,0.18181818181818182
2018-04-11,0.8421052631578947,0.15789473684210525
2018-04-12,0.6333333333333333,0.36666666666666664
2018-04-13,0.5714285714285714,0.42857142857142855
2018-04-14,0.625,0.375
2018-04-15,0.7,0.3
2018-04-16,0.6,0.4
2018-04-17,0.675,0.325
2018-04-18,0.5161290322580645,0.4838709677419355
2018-04-19,0.7096774193548387,0.2903225806451613
2018-04-20,0.7333333333333333,0.26666666666666666
2018-04-21,0.7916666666666666,0.20833333333333334
2018-04-22,0.6956521739130435,0.30434782608695654
2018-04-23,0.625,0.375
2018-04-24,0.6052631578947368,0.39473684210526316
2018-04-25,0.7333333333333333,0.26666666666666666
2018-04-26,0.6285714285714286,0.37142857142857144
2018-04-27,0.5625,0.4375
2018-04-28,0.75,0.25
2018-04-29,0.5454545454545454,0.45454545454545453
2018-04-30,0.8529411764705882,0.14705882352941177
2018-05-01,0.9,0.1
2018-05-02,0.8125,0.1875
2018-05-03,0.6,0.4
2018-05-04,0.8095238095238095,0.19047619047619047
2018-05-05,0.7391304347826086,0.2608695652173913
