date,pos,neg
2018-01-01,0.75,0.25
2018-01-02,0.6388888888888888,0.3611111111111111
2018-01-03,0.7666666666666667,0.23333333333333334
2018-01-04,0.6333333333333333,0.36666666666666664
2018-01-05,0.5714285714285714,0.42857142857142855
2018-01-06,0.7142857142857143,0.2857142857142857
2018-01-07,0.6774193548387096,0.3225806451612903
2018-01-08,0.7419354838709677,0.25806451612903225
2018-01-09,0.5882352941176471,0.4117647058823529
2018-01-10,0.5945945945945946,0.40540540540540543
2018-01-11,0.5714285714285714,0.42857142857142855
2018-01-12,0.65625,0.34375
2018-01-13,0.72,0.28
2018-01-14,0.88,0.12
2018-01-15,0.5517241379310345,0.4482758620689655
2018-01-16,0.7272727272727273,0.2727272727272727
2018-01-17,0.6388888888888888,0.3611111111111111
2018-01-18,0.8974358974358975,0.10256410256410256
2018-01-19,0.65625,0.34375
2018-01-20,0.8,0.2
2018-01-21,0.85,0.15
2018-01-22,0.7142857142857143,0.2857142857142857
2018-01-23,0.5405405405405406,0.4594594594594595
2018-01-24,0.76,0.24
2018-01-25,0.675,0.325
2018-01-26,0.7407407407407407,0.25925925925925924
2018-01-27,0.6333333333333333,0.36666666666666664
2018-01-28,0.4782608695652174,0.5217391304347826
2018-01-29,0.8571428571428571,0.14285714285714285
2018-01-30,0.6285714285714286,0.37142857142857144
2018-01-31,0.7096774193548387,0.2903225806451613
2018-02-01,0.6666666666666666,0.3333333333333333
2018-02-02,0.7567567567567568,0.24324324324324326
2018-02-03,0.6842105263157895,0.3157894736842105
2018-02-04,0.9411764705882353,0.058823529411764705
2018-02-05,0.6666666666666666,0.3333333333333333
2018-02-06,0.696969696969697,0.30303030303030304
2018-02-07,0.59375,0.40625
2018-02-08,0.6486486486486487,0.35135135135135137
2018-02-09,0.8181818181818182,0.18181818181818182
2018-02-10,0.8181818181818182,0.18181818181818182
2018-02-11,0.7647058823529411,0.23529411764705882
2018-02-12,0.68,0.32
2018-02-13,0.7407407407407407,0.25925925925925924
2018-02-14,0.64,0.36
2018-02-15,0.6538461538461539,0.34615384615384615
2018-02-16,0.6774193548387096,0.3225806451612903
2018-02-17,0.7058823529411765,0.29411764705882354
2018-02-18,0.7692307692307693,0.23076923076923078
2018-02-19,0.8275862068965517,0.1724137931034483
2018-02-20,0.7931034482758621,0.20689655172413793
2018-02-21,0.6333333333333333,0.36666666666666664
2018-02-22,0.8387096774193549,0.16129032258064516
2018-02-23,0.9142857142857143,0.08571428571428572
2018-02-24,0.7666666666666667,0.23333333333333334
2018-02-25,0.896551724137931,0.10344827586206896
2018-02-26,0.7142857142857143,0.2857142857142857
2018-02-27,0.7428571428571429,0.2571428571428571
2018-02-28,0.8055555555555556,0.19444444444444445
2018-03-01,0.71875,0.28125
2018-03-02,0.6071428571428571,0.39285714285714285
2018-03-03,0.8421052631578947,0.15789473684210525
2018-03-04,0.8260869565217391,0.17391304347826086
2018-03-05,0.8529411764705882,0.14705882352941177
2018-03-06,0.8157894736842105,0.18421052631578946
2018-03-07,0.8125,0.1875
2018-03-08,0.8461538461538461,0.15384615384615385
2018-03-09,0.8214285714285714,0.17857142857142858
2018-03-10,0.7878787878787878,0.21212121212121213
2018-03-11,0.7741935483870968,0.22580645161290322
2018-03-12,0.5652173913043478,0.43478260869565216
2018-03-13,0.3548387096774194,0.6451612903225806
2018-03-14,0.8181818181818182,0.18181818181818182
2018-03-15,0.65625,0.34375
2018-03-16,0.7407407407407407,0.25925925925925924
2018-03-17,0.825,0.175
2018-03-18,0.7727272727272727,0.22727272727272727
2018-03-19,0.6296296296296297,0.37037037037037035
2018-03-20,0.6428571428571429,0.35714285714285715
2018-03-21,0.8108108108108109,0.1891891891891892
2018-03-22,0.5625,0.4375
2018-03-23,0.6666666666666666,0.3333333333333333
2018-03-24,0.92,0.08
2018-03-25,0.7647058823529411,0.23529411764705882
2018-03-26,0.7058823529411765,0.29411764705882354
2018-03-27,0.6153846153846154,0.38461538461538464
2018-03-28,0.71875,0.28125
2018-03-29,0.5909090909090909,0.4090909090909091
2018-03-30,0.6956521739130435,0.30434782608695654
2018-03-31,0.9038461538461539,0.09615384615384616
2018-04-01,0.8846153846153846,0.11538461538461539
2018-04-02,0.6551724137931034,0.3448275862068966
2018-04-03,0.6744186046511628,0.32558139534883723
2018-04-04,0.7368421052631579,0.2631578947368421
2018-04-05,0.7777777777777778,0.2222222222222222
2018-04-06,0.8095238095238095,0.19047619047619047
2018-04-07,0.6,0.4
2018-04-08,0.3783783783783784,0.6216216216216216
2018-04-09,0.8181818181818182,0.18181818181818182
2018-04-10,0.75,0.25
2018-04-11,0.7222222222222222,0.2777777777777778
2018-04-12,0.5517241379310345,0.4482758620689655
2018-04-13,0.7647058823529411,0.23529411764705882
2018-04-14,0.6896551724137931,0.3103448275862069
2018-04-15,0.75,0.25
2018-04-16,0.7241379310344828,0.27586206896551724
2018-04-17,0.8857142857142857,0.11428571428571428
2018-04-18,0.72,0.28
2018-04-19,0.5333333333333333,0.4666666666666667
2018-04-20,0.6388888888888888,0.3611111111111111
2018-04-21,0.8333333333333334,0.16666666666666666
2018-04-22,0.8823529411764706,0.11764705882352941
2018-04-23,0.8709677419354839,0.12903225806451613
2018-04-24,0.6060606060606061,0.3939393939393939
2018-04-25,0.4827586206896552,0.5172413793103449
2018-04-26,0.7058823529411765,0.29411764705882354
2018-04-27,0.5833333333333334,0.4166666666666667
2018-04-28,0.7435897435897436,0.2564102564102564
2018-04-29,0.65625,0.34375
2018-04-30,0.6896551724137931,0.3103448275862069
